T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
1.1,11.7,-12.8,1015.1,58.0,16.1,20.7,31.7,0.0
6.4,11.7,-6.1,1011.7,48.0,16.1,13.5,31.7,0.0
-5.2,11.1,-11.1,1023.1,65.0,12.9,20.7,53.5,57.0
3.5,6.1,-1.1,1010.4,35.0,16.1,26.5,48.2,202.91666666666663
4.9,15.0,-6.1,1006.8,37.0,16.1,17.4,29.4,205.125
-6.4,10.0,-12.8,1023.7,38.0,15.8,24.3,48.2,214.125
0.2,8.3,-3.9,1017.2,54.0,14.5,9.6,18.3,315.7916666666667
-0.3,3.3,-2.2,1014.1,92.0,4.0,8.9,16.5,322.25
-4.8,1.1,-7.8,1024.2,77.0,13.8,15.2,20.6,246.04166666666663
-8.9,-1.7,-13.9,1029.2,65.0,16.1,7.0,14.8,200.91666666666663
-16.2,-7.2,-22.8,1033.8,63.0,16.1,1.9,13.0,99.5
-6.7,-1.7,-9.0,1025.7,64.0,14.6,3.7,16.5,143.91666666666666
-2.3,-2.2,-2.8,1021.9,72.0,16.1,4.1,11.1,100.25
-4.5,8.3,-19.4,1013.9,66.0,15.6,6.3,25.9,165.0
-1.0,4.4,-5.0,1007.9,82.0,11.7,12.8,31.7,116.45833333333331
-6.6,2.2,-11.1,1020.0,69.0,15.8,9.6,22.2,143.0
8.0,17.2,-2.2,1013.1,55.0,16.1,10.2,18.3,231.125
12.4,23.3,0.0,1002.2,68.0,15.1,21.3,59.4,218.66666666666663
5.8,12.8,0.6,1010.1,40.0,16.1,24.8,38.9,211.0
-2.1,2.8,-7.8,1025.6,59.0,16.1,13.0,18.3,52.208333333333336
-7.3,-0.6,-12.2,1026.2,43.0,15.8,18.1,27.8,187.5
-4.7,-1.7,-12.2,1018.5,36.0,16.1,15.6,25.9,130.16666666666666
2.3,10.0,-10.0,1019.5,57.0,13.7,8.0,22.2,123.125
-7.9,-2.8,-13.0,1028.3,79.0,6.4,18.5,24.1,120.91666666666669
-12.6,-5.0,-16.7,1033.0,56.0,14.5,15.0,31.7,153.625
2.9,16.7,-6.1,1016.8,57.0,12.6,3.0,13.0,130.33333333333334
4.7,8.3,2.2,1014.2,67.0,16.1,1.9,7.6,110.70833333333331
4.2,14.4,-5.0,1024.3,61.0,9.5,6.9,18.3,138.5
5.2,18.3,-4.4,1020.0,51.0,16.1,6.7,16.5,75.75
12.8,18.9,5.6,1011.4,34.0,16.1,20.0,38.9,146.54166666666666
9.1,21.7,-2.8,1015.4,40.0,16.1,6.1,20.6,116.625
9.3,15.6,-1.7,1009.3,62.0,15.4,19.8,33.5,80.04166666666667
6.7,20.0,-5.0,1018.9,46.0,15.6,10.2,27.8,100.04166666666669
15.7,24.4,8.9,1011.1,27.0,16.1,16.9,29.4,109.45833333333331
0.9,4.4,-8.3,1024.3,57.0,13.4,19.6,37.0,110.16666666666669
0.3,11.1,-9.4,1025.2,42.0,16.1,9.6,22.2,108.20833333333331
10.2,15.6,4.4,1009.6,54.0,15.9,17.0,33.5,103.83333333333331
13.6,20.6,5.0,1013.6,46.0,15.9,14.8,31.7,74.29166666666667
12.0,21.1,5.0,1015.1,45.0,16.1,16.9,29.4,101.79166666666669
9.2,15.6,5.0,1016.2,84.0,12.9,14.3,27.8,106.16666666666669
14.4,18.9,7.2,1006.7,91.0,11.7,11.1,57.6,89.875
